timestamp_utc,run_id,source_run_id,experiment,run_name,evaluation,dataset,backbone,method,seed,epochs,latency_p50_ms,latency_p95_ms,peak_memory_mb,images,srcc,plcc,srcc_per_reference,images_per_second,milliseconds_per_image,head_size_mb,model_parameter_size_mb,config_path
2026-09-01T17:48:38.005460+00:00,fbdc7a0a15204e77a519f2dce8dcfb48,18d3fb7d804f4b82ac4b2dc778be3471,conditioned-iqa-external-eval,external-m1-mdtvsfa-mean-baseline-s0,held_out_test,koniq10k,clip-base,baseline,,5,3.135,4.008,347.4,10073,0.5753538104227869,0.5866795778274536,,429.67858773292073,2.3273209988801655,0.7578392028808594,328.05666732788086,configs/text_conditioning/25_clean_multi_mdtvsfa_baseline.yaml
2026-09-01T17:48:38.005464+00:00,fbdc7a0a15204e77a519f2dce8dcfb48,18d3fb7d804f4b82ac4b2dc778be3471,conditioned-iqa-external-eval,external-m1-mdtvsfa-mean-baseline-s0,held_out_test,clive,clip-base,baseline,,5,3.135,4.008,347.4,1162,0.6909606390640134,0.7070240378379822,,346.2964417499927,2.8876993218484928,0.7578392028808594,328.05666732788086,configs/text_conditioning/25_clean_multi_mdtvsfa_baseline.yaml
2026-09-01T17:48:38.005468+00:00,fbdc7a0a15204e77a519f2dce8dcfb48,18d3fb7d804f4b82ac4b2dc778be3471,conditioned-iqa-external-eval,external-m1-mdtvsfa-mean-baseline-s0,held_out_test,agiqa3k,clip-base,baseline,,5,3.135,4.008,347.4,2982,0.7146178806338485,0.7290026545524597,,472.99060553983713,2.1142068960517144,0.7578392028808594,328.05666732788086,configs/text_conditioning/25_clean_multi_mdtvsfa_baseline.yaml
2026-09-01T17:48:38.005474+00:00,fbdc7a0a15204e77a519f2dce8dcfb48,18d3fb7d804f4b82ac4b2dc778be3471,conditioned-iqa-external-eval,external-m1-mdtvsfa-mean-baseline-s0,held_out_test,gfiqa20k,clip-base,baseline,,5,3.135,4.008,347.4,19998,0.6358675823585603,0.649246096611023,,502.31238501844376,1.9907930399989686,0.7578392028808594,328.05666732788086,configs/text_conditioning/25_clean_multi_mdtvsfa_baseline.yaml
2026-09-01T17:48:38.005478+00:00,fbdc7a0a15204e77a519f2dce8dcfb48,18d3fb7d804f4b82ac4b2dc778be3471,conditioned-iqa-external-eval,external-m1-mdtvsfa-mean-baseline-s0,held_out_test,pipal,clip-base,baseline,,5,3.135,4.008,347.4,24200,0.45084389895326044,0.4636766314506531,,502.854445958491,1.9886470290501255,0.7578392028808594,328.05666732788086,configs/text_conditioning/25_clean_multi_mdtvsfa_baseline.yaml
2026-09-01T17:49:10.035612+00:00,c6363039a9b64b22b69ac40811edb483,18d3fb7d804f4b82ac4b2dc778be3471,conditioned-iqa-external-eval,external-m1-mdtvsfa-mean-baseline-s0-uhd-test,held_out_test,uhdiqa,clip-base,baseline,,5,3.063,3.138,347.4,900,0.23173065275591195,0.2728371322154999,,53.45268305247696,18.708134800609617,0.7578392028808594,328.05666732788086,configs/text_conditioning/25_clean_multi_mdtvsfa_baseline.yaml
2026-09-01T17:51:12.656268+00:00,b8b3177d68754eb6b2c3b8300714f113,,conditioned-iqa-performance,m2-mdtvsfa-softmax-baseline-s0,validation,aigciqa2023,clip-base,baseline,0,5,3.07,3.138,358.4,480,0.7826990351520622,0.7890057563781738,,7710.181424250383,0.12969863417931496,0.7578392028808594,328.05666732788086,configs/text_conditioning/26_clean_multi_mdtvsfa_softmax.yaml
2026-09-01T17:51:12.656295+00:00,b8b3177d68754eb6b2c3b8300714f113,,conditioned-iqa-performance,m2-mdtvsfa-softmax-baseline-s0,validation,kadid10k,clip-base,baseline,0,5,3.07,3.138,358.4,2000,0.8220248004230241,0.8282623887062073,,7710.181424250383,0.12969863417931496,0.7578392028808594,328.05666732788086,configs/text_conditioning/26_clean_multi_mdtvsfa_softmax.yaml
2026-09-01T17:51:12.656299+00:00,b8b3177d68754eb6b2c3b8300714f113,,conditioned-iqa-performance,m2-mdtvsfa-softmax-baseline-s0,validation,spaq,clip-base,baseline,0,5,3.07,3.138,358.4,2225,0.8853408102523203,0.8918147683143616,,7710.181424250383,0.12969863417931496,0.7578392028808594,328.05666732788086,configs/text_conditioning/26_clean_multi_mdtvsfa_softmax.yaml
2026-09-01T17:53:52.901919+00:00,b65a2a692c0c4c3e8093a851de238bed,b8b3177d68754eb6b2c3b8300714f113,conditioned-iqa-external-eval,external-m2-mdtvsfa-softmax-baseline-s0,held_out_test,tid2013,clip-base,baseline,,5,3.035,3.195,347.4,3000,0.6769786563994836,0.7165069580078125,,485.5794203635996,2.059395349274079,0.7578392028808594,328.05666732788086,configs/text_conditioning/26_clean_multi_mdtvsfa_softmax.yaml
